ID,Layer,Weight
10366534,Diffusion_L3,1
7124027,Diffusion_L3,1
10921764,Diffusion_L3,1
12274939,Diffusion_L3,1
11394916,Diffusion_L3,1
D754190,Diffusion_L3,1
11516612,Diffusion_L3,1
12397477,Diffusion_L3,1
10593331,Diffusion_L3,1
9922220,Diffusion_L3,1
10388026,Diffusion_L3,1
11620799,Diffusion_L3,1
8676442,Diffusion_L3,1
10097754,Diffusion_L3,1
7729859,Diffusion_L3,1
9058058,Diffusion_L3,1
10733892,Diffusion_L3,1
7119832,Diffusion_L3,1
8304711,Diffusion_L3,1
11797099,Diffusion_L3,1
11960784,Diffusion_L3,1
9598018,Diffusion_L3,1
12115915,Diffusion_L3,1
10816636,Diffusion_L3,1
11030772,Diffusion_L3,1
8637801,Diffusion_L3,1
11197096,Diffusion_L3,1
10773707,Diffusion_L3,1
11972014,Diffusion_L3,1
8068135,Diffusion_L3,1
7510038,Diffusion_L3,1
8090153,Diffusion_L3,1
10847164,Diffusion_L3,1
9783114,Diffusion_L3,1
11598651,Diffusion_L3,1
8599001,Diffusion_L3,1
8376595,Diffusion_L3,1
12288558,Diffusion_L3,1
7974784,Diffusion_L3,1
D786893,Diffusion_L3,1
8325028,Diffusion_L3,1
10460455,Diffusion_L3,1
11080296,Diffusion_L3,1
11308718,Diffusion_L3,1
12306585,Diffusion_L3,1
10336252,Diffusion_L3,1
12361645,Diffusion_L3,1
7792329,Diffusion_L3,1
7382276,Diffusion_L3,1
8170725,Diffusion_L3,1
11138885,Diffusion_L3,1
11215465,Diffusion_L3,1
9715769,Diffusion_L3,1
7579942,Diffusion_L3,1
9024976,Diffusion_L3,1
7739045,Diffusion_L3,1
7526103,Diffusion_L3,1
10687759,Diffusion_L3,1
12386491,Diffusion_L3,1
6760645,Diffusion_L3,1
9471149,Diffusion_L3,1
7994471,Diffusion_L3,1
9019267,Diffusion_L3,1
10168710,Diffusion_L3,1
11900923,Diffusion_L3,1
11810562,Diffusion_L3,1
11736832,Diffusion_L3,1
10867054,Diffusion_L3,1
9014904,Diffusion_L3,1
11301920,Diffusion_L3,1
11743219,Diffusion_L3,1
9762880,Diffusion_L3,1
12185244,Diffusion_L3,1
10089541,Diffusion_L3,1
12405507,Diffusion_L3,1
9456201,Diffusion_L3,1
9851804,Diffusion_L3,1
7474963,Diffusion_L3,1
11825289,Diffusion_L3,1
9335411,Diffusion_L3,1
10397451,Diffusion_L3,1
11546951,Diffusion_L3,1
11521513,Diffusion_L3,1
7821697,Diffusion_L3,1
11862186,Diffusion_L3,1
9524021,Diffusion_L3,1
7871169,Diffusion_L3,1
6693563,Diffusion_L3,1
7013149,Diffusion_L3,1
12080287,Diffusion_L3,1
7446650,Diffusion_L3,1
10318117,Diffusion_L3,1
7904218,Diffusion_L3,1
8121345,Diffusion_L3,1
10257432,Diffusion_L3,1
7046125,Diffusion_L3,1
10820430,Diffusion_L3,1
12204695,Diffusion_L3,1
11288890,Diffusion_L3,1
11962940,Diffusion_L3,1
9607388,Diffusion_L3,1
10739865,Diffusion_L3,1
10523904,Diffusion_L3,1
9953223,Diffusion_L3,1
7076331,Diffusion_L3,1
12149886,Diffusion_L3,1
9304603,Diffusion_L3,1
10831278,Diffusion_L3,1
D798207,Diffusion_L3,1
10807535,Diffusion_L3,1
8787663,Diffusion_L3,1
8818703,Diffusion_L3,1
12164699,Diffusion_L3,1
6766309,Diffusion_L3,1
7477250,Diffusion_L3,1
9933852,Diffusion_L3,1
10431104,Diffusion_L3,1
9864430,Diffusion_L3,1
9761142,Diffusion_L3,1
8155883,Diffusion_L3,1
8070332,Diffusion_L3,1
8676431,Diffusion_L3,1
10609285,Diffusion_L3,1
D800618,Diffusion_L3,1
10220303,Diffusion_L3,1
12062383,Diffusion_L3,1
7149623,Diffusion_L3,1
10363875,Diffusion_L3,1
12260151,Diffusion_L3,1
11989349,Diffusion_L3,1
9984285,Diffusion_L3,1
10250975,Diffusion_L3,1
10496168,Diffusion_L3,1
9445057,Diffusion_L3,1
10726616,Diffusion_L3,1
11775079,Diffusion_L3,1
7015830,Diffusion_L3,1
7319932,Diffusion_L3,1
11378732,Diffusion_L3,1
11807230,Diffusion_L3,1
9019603,Diffusion_L3,1
10939471,Diffusion_L3,1
