Source,Target,Type
11107286,8659658,Diffusion
11109018,6553130,Diffusion
11109816,8631355,Diffusion
11109816,8745541,Diffusion
11113887,8631355,Diffusion
11153472,4901362,Internal
11153472,8745541,Internal
11153472,9652042,Internal
11153472,10488950,Internal
11153472,10551930,Internal
11215711,4901362,Internal
11215711,6229918,Internal
11215711,8379919,Internal
11215711,8401225,Internal
11215711,8448056,Internal
11215711,8587583,Internal
11215711,9247238,Internal
11215711,9262673,Internal
11215711,9940553,Internal
11115861,6275773,Diffusion
11115861,6487500,Diffusion
11116010,6275773,Diffusion
11116010,6487500,Diffusion
11119565,8351651,Diffusion
11120254,8745541,Diffusion
11120794,8385557,Diffusion
11124121,6487500,Diffusion
11124207,6487500,Diffusion
11127143,8351651,Diffusion
11127210,8843857,Diffusion
11128792,8295546,Diffusion
11129569,8351651,Diffusion
11130487,6553130,Diffusion
11131542,8670029,Diffusion
11132989,8385557,Diffusion
11133018,8385557,Diffusion
11135510,8418085,Diffusion
11137246,8320621,Diffusion
11137979,8385557,Diffusion
11138885,6487500,Diffusion
11138969,8385557,Diffusion
11138975,8385557,Diffusion
11142123,6553130,Diffusion
11146661,9244533,Diffusion
11148583,6553130,Diffusion
11148583,6906639,Diffusion
11153472,8745541,Diffusion
11153780,6275773,Diffusion
11153780,6487500,Diffusion
11154771,8418085,Diffusion
11155210,6553130,Diffusion
11155211,6553130,Diffusion
11159880,8385557,Diffusion
11160111,6275773,Diffusion
11160111,6487500,Diffusion
11160455,8320621,Diffusion
11163317,6487500,Diffusion
11163361,8351651,Diffusion
11165949,8295546,Diffusion
11165975,6553130,Diffusion
11175512,8670029,Diffusion
11175728,9244533,Diffusion
11175880,8385557,Diffusion
11175888,8385557,Diffusion
11178335,8295546,Diffusion
11178353,6487500,Diffusion
11178353,6553130,Diffusion
11179066,8351651,Diffusion
11179218,8320621,Diffusion
11180155,6553130,Diffusion
11181929,6487500,Diffusion
11183181,8385557,Diffusion
11183183,8385557,Diffusion
11184585,6553130,Diffusion
11184704,8385557,Diffusion
11184711,8745541,Diffusion
11184969,8385557,Diffusion
11189286,8385557,Diffusion
11192497,6553130,Diffusion
11192500,6553130,Diffusion
11194162,8670029,Diffusion
11197096,8385557,Diffusion
11198432,6553130,Diffusion
11198434,6553130,Diffusion
11200870,9244533,Diffusion
11200889,8385557,Diffusion
11200894,8385557,Diffusion
11200900,8385557,Diffusion
11201994,6553130,Diffusion
11202198,6275773,Diffusion
11202198,6487500,Diffusion
11203294,6275773,Diffusion
11203294,6487500,Diffusion
11203340,6553130,Diffusion
11203340,6906639,Diffusion
11204215,8320621,Diffusion
11204692,8295546,Diffusion
11205080,6553130,Diffusion
11206092,6275773,Diffusion
11206092,6487500,Diffusion
11206169,6275773,Diffusion
11206169,6487500,Diffusion
11206373,9244533,Diffusion
11208099,6553130,Diffusion
11209528,8587583,Diffusion
11210808,9244533,Diffusion
11212449,8295546,Diffusion
11212612,8385557,Diffusion
11212831,6275773,Diffusion
11212831,6487500,Diffusion
11215465,8587583,Diffusion
11215711,8587583,Diffusion
11215834,8670029,Diffusion
11216069,8351651,Diffusion
11223771,8295546,Diffusion
11224802,8418085,Diffusion
11225153,6906639,Diffusion
11226413,6553130,Diffusion
11226677,8320621,Diffusion
11229063,6275773,Diffusion
11229063,6487500,Diffusion
11231294,6553130,Diffusion
11233973,9244533,Diffusion
11237635,8745541,Diffusion
11241156,8320621,Diffusion
11245837,8295546,Diffusion
11256155,8670029,Diffusion
11259117,8385557,Diffusion
11262841,8320621,Diffusion
11262841,8670029,Diffusion
11265514,6553130,Diffusion
11265532,8320621,Diffusion
11269481,8631355,Diffusion
11269481,8659658,Diffusion
11269481,8843857,Diffusion
11270706,8385557,Diffusion
11277558,6553130,Diffusion
11279287,6553130,Diffusion
11279287,6906639,Diffusion
11279343,6553130,Diffusion
11280937,9244533,Diffusion
11281013,8670029,Diffusion
11282273,8631355,Diffusion
11282273,8659658,Diffusion
11282273,8843857,Diffusion
11285873,6553130,Diffusion
11285875,6553130,Diffusion
11285877,6553130,Diffusion
11285879,6487500,Diffusion
11287666,8670029,Diffusion
11288039,8385557,Diffusion
11288842,8587583,Diffusion
11288888,6553130,Diffusion
11288890,6553130,Diffusion
11290679,6553130,Diffusion
11297178,8385557,Diffusion
11297423,8385557,Diffusion
11297426,8385557,Diffusion
11297643,6275773,Diffusion
11297643,6487500,Diffusion
11300795,8670029,Diffusion
11300964,8587583,Diffusion
11301048,8631355,Diffusion
11301499,8418085,Diffusion
11301920,8745541,Diffusion
11302326,8385557,Diffusion
11302347,8385557,Diffusion
11303981,8385557,Diffusion
11305691,6553130,Diffusion
11307432,8670029,Diffusion
11308711,8631355,Diffusion
11308711,8659658,Diffusion
11308711,8843857,Diffusion
11308718,6553130,Diffusion
11308720,6553130,Diffusion
11308958,8385557,Diffusion
11308961,8385557,Diffusion
11308962,8385557,Diffusion
11310592,8385557,Diffusion
11310596,8385557,Diffusion
