Citing_Patent,Year,Assignee,CPC_Groups
8861839,2014,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
8866889,2014,Microsoft Corporation,A63F13/213; A63F13/22; G06F3/017; G06T2207/10021; G06T2207/10028; G06T2207/30196; G06T7/80; H04N13/128; H04N13/271; H04N13/327
8667519,2014,Microsoft Corporation,H04N21/4223; H04N21/44213; H04N21/44218; H04N21/6582
8891827,2014,Microsoft Corporation,G06F3/017; G06T15/00; G06T2200/04; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/579; G06V40/10; H04N13/20
8843857,2014,Microsoft Corporation,G06F3/011; G06F3/017; G06F3/0304; G06F3/0488; G06V30/242; G06V40/20
8760571,2014,Microsoft Corporation,G01B11/27; H04N23/54; H04N23/55
8660303,2014,Microsoft Corporation,G06V40/103
8760395,2014,Microsoft Corporation,G06F3/011; G06F3/017; G06F3/0304; G06F3/04815; G06T2207/10028; G06T2207/30196; G06T7/75; G06V40/28
8824780,2014,Microsoft Corporation,
8676581,2014,Microsoft Corporation,A63F2300/1081; A63F2300/1087; A63F2300/6072; G06F2218/22; G06V40/161; G10L15/24; G10L17/00; G10L2015/228; G10L2021/02166
8788973,2014,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/655; A63F13/803; A63F13/807; A63F2300/1093; A63F2300/5553; A63F2300/6607; A63F2300/695; G06F3/011
8824749,2014,Microsoft Corporation,A63F13/40; G06F21/32; G06V40/16
8896721,2014,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/533; A63F13/833; A63F2300/1087; A63F2300/6045; A63F2300/6607; G06T2207/10028; G06T2207/30196; G06T7/11; G06V10/26; G06V20/80; G06V40/23
8631355,2014,Microsoft Corporation,A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F13/67; A63F13/803; A63F13/812; A63F2300/1018; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6027; A63F2300/6045; A63F2300/6607; A63F2300/8011; G06F16/436; G06F16/9537; G06F3/017
8630457,2014,Microsoft Corporation,G06V40/23
8687044,2014,Microsoft Corporation,H04N13/128; H04N13/139
8633890,2014,Microsoft Corporation,G06F3/017; G06F3/0304; G06V40/23
8655069,2014,Microsoft Corporation,G06T2207/20096; G06T2207/20101; G06T2207/20104; G06T7/11; G06T7/143; G06V10/26
8649554,2014,Microsoft Corporation,A63F13/213; A63F13/428; G06F3/011; G06F3/016; G06F3/017; G06T11/60; G06T3/20; G06T3/40
8803888,2014,Microsoft Corporation,G06F3/011; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/20; G06V40/23; H04L65/4061; H04L67/06; H04L67/131
8724887,2014,Microsoft Corporation,A63F13/213; A63F13/217; A63F13/42; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/005; G06F3/017; G06F3/0304
8869072,2014,Microsoft Corporation,A63F13/00; A63F2300/1012; A63F2300/1093; A63F2300/6045; G06F3/011; G06F3/017; G06F3/033; G06F3/04883; G06V40/113; G06V40/23
8675981,2014,Microsoft Corporation,G06F2203/0381; G06F3/017; G06F3/038; G06V40/103
8702507,2014,Microsoft Corporation,A63F13/213; A63F13/22; A63F13/24; A63F13/42; A63F13/428; A63F13/65; A63F2300/1018; A63F2300/1087; A63F2300/5553; A63F2300/6045; A63F2300/69
8867820,2014,Microsoft Corporation,G06T15/00; G06T19/00; G06T2207/10028; G06T7/11; G06T7/194; G06T7/215; G06T7/254
8891067,2014,Microsoft Corporation,G01C3/08; G01S17/36; G01S17/894; G01S7/4815; G01S7/4911
8745541,2014,Microsoft Corporation,A63F13/211; A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F2300/1093; G06F3/011; G06F3/012; G06F3/013; G06F3/017; G06F3/0346; G06F3/038; G06T7/20; G06T7/285; G06T7/593; G06V40/20; G06V40/28; H04N13/128; H04N13/239; H04N13/366; H04N2013/0081
8724906,2014,Microsoft Corporation,G06T17/00; G06T7/75; G06V20/653
8920241,2014,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/803; A63F13/837; A63F2300/1093; A63F2300/308; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06F3/04817; G06F3/0482
8707216,2014,Microsoft Corporation,G06F2203/0381; G06F3/0346; G06F3/038; G08C17/00; G08C2201/31; G08C2201/32; G08C2201/41; G08C2201/50
8884968,2014,Microsoft Corporation,G06T15/205
8681255,2014,Microsoft Corporation,G01S17/18; G01S17/894; H04N9/3182; H04N9/3194
8635637,2014,Microsoft Corporation,G06Q30/02; H04N21/44218
8744121,2014,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/428; A63F13/5375; A63F13/56; A63F13/812; A63F13/833; A63F2300/1043; A63F2300/1081; A63F2300/1087; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06V40/103; G06V40/23; H04N7/183
8644609,2014,Microsoft Corporation,G06T17/00; G06T3/40; G06T7/11; G06T7/136; G06V10/26
8897495,2014,Microsoft Corporation,G06F3/017; G06T15/00; G06T2200/04; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/579; G06V40/10; H04N13/20
8786730,2014,Microsoft Corporation,H04N17/002
8625837,2014,Microsoft Corporation,A63F13/213; A63F13/424; A63F13/428; A63F13/833; A63F2300/1087; A63F2300/5553; A63F2300/6607; G06F3/011; G06F3/017; H04N1/032; H04N19/40; H04N21/00; H04N21/232; H04N21/234; H04N21/23424; H04N21/236
8864581,2014,Microsoft Corporation,A63F13/213; A63F13/35; A63F13/40; A63F13/42; A63F13/428; A63F13/655; A63F13/79; A63F13/87; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F9/24; G06V40/16
8693724,2014,Microsoft Corporation,G06F3/005; G06F3/017; G06F3/0304; G06F3/04815; G06F3/04883
8681321,2014,MICROSOFT INTERNATIONAL HOLDINGS B.V.,G01S17/89; G01S17/894; H04N13/20; H04N13/207; H04N23/56; H04N23/73; H04N23/74
8670029,2014,Microsoft Corporation,G02B5/1895; G03B15/03; G03B35/00; G06F3/011; H04N13/254; H04N25/00; H04N25/705
8882310,2014,Microsoft Corporation,F21V13/02; F21V21/00; G01S17/894; G02B27/0938; G02B27/0944; G02B27/20; H01S5/022; H01S5/02208; H01S5/02212; H01S5/02253; H01S5/02257; H01S5/023; H01S5/0233; H01S5/02345; H01S5/0235; H01S5/024; H01S5/02469; H01S5/06209; H01S5/06216; H01S5/4031; H05K1/0243; H05K1/0296; H05K2201/09145; H05K2201/10106; H05K3/0052
8860663,2014,Microsoft Corporation,A63F13/428; A63F2300/1006; A63F2300/1093; G06F3/011; G06F3/033; G06T17/10; G06T19/00; G06V40/103; G06V40/20
8781156,2014,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/79; G06F16/7834; G06V40/70; G10L17/10; G10L2021/02166
8898687,2014,Microsoft Corporation,H04N21/442
8775916,2014,Microsoft Corporation,G06F18/217; G06T2207/10024; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/70; G06V10/28; G06V10/776; G06V40/103
8897493,2014,Microsoft Corporation,G06F3/011; G06F3/017; G06T15/005; G06T2207/10028; G06V20/64; G06V40/10; G06V40/103; G06V40/20
8818002,2014,Microsoft Corporation,G01S3/86; H04B7/0854; H04R2430/20; H04R3/005
8659658,2014,Microsoft Corporation,A63F2300/1093; A63F2300/8011; G06F3/011; G06F3/017; G06F3/0304; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/103
8751215,2014,Microsoft Corporation,E05F15/00; E05Y2400/852; E05Y2400/86; G06F3/017; G06F40/44; G06F40/45; G06V40/113; G06V40/28; G09B21/009
8634636,2014,Microsoft Corporation,
8749557,2014,Microsoft Corporation,G06F3/011; G06F3/017; G06T13/40
8782567,2014,Microsoft Corporation,A63F13/00; A63F2300/1012; A63F2300/1093; A63F2300/6045; G06F3/011; G06F3/017; G06F3/033; G06F3/04883; G06V40/113; G06V40/23
8854426,2014,Microsoft Corporation,A63F13/213; A63F13/40; A63F13/42; A63F2300/1093; A63F2300/6045
